route_id,service_id,trip_id,trip_headsign,direction_id,shape_id
80,0000000042025062820250909,0003279582025062820250909,M. Terlago. Htl 2 Laghi,0,SHAPE00689
98,0000000022025062820250909,0003290702025062820250909,Martincelli,0,SHAPE00445
120,0000004512025062820250909,0003270602025062820250909,Sover,0,SHAPE02507
634,0000000022025062820250909,0003284682025062820250909,Rovereto. Via Paoli,1,SHAPE00052
80,0000000022025062820250909,0003276362025062820250909,Trento. Autostazione,1,SHAPE00175
611,0000000022025062820250909,0003269542025062820250909,Cavalese. Autostazione,1,SHAPE00245
520,0000000042025062820250909,0003291672025062820250909,Trento. Autostazione,1,SHAPE00608
243,0000000012025062820250909,0003270072025062820250909,Cavalese. Autostazione,1,SHAPE00033
175,0000000042025062820250909,0003276652025062820250909,Trento. Autostazione,1,SHAPE00098
352,0000000022025062820250909,0003304472025062820250909,Trento Ftm,1,
237,0000000022025062820250909,0003275952025062820250909,Trento. Autostazione,1,SHAPE00059
352,0000000022025062820250909,0003303182025062820250909,Trento Ftm,1,
186,0000000022025062820250909,0003284992025062820250909,Trento. Autostazione,1,SHAPE00071
366,0000000022025062820250909,0003297322025062820250909,Cles. Autostazione,0,SHAPE00819
120,0000000022025062820250909,0003270202025062820250909,Trento. Autostazione,1,SHAPE02315
520,0000000022025062820250909,0003291662025062820250909,Levico Terme Autostazione,1,SHAPE01454
71,0000000022025062820250909,0003275542025062820250909,Trento. Autostazione,1,SHAPE00340
237,0000000022025062820250909,0003275882025062820250909,Trento. Autostazione,1,SHAPE00217
248,0000000072025062820250909,0003294572025062820250909,Val Canali,0,SHAPE00121
157,0000000022025062820250909,0003280462025062820250909,Tione. Autostazione,1,SHAPE00006
503,0000000042025062820250909,0003285322025062820250909,Serravalle,0,SHAPE00171
634,0000000022025062820250909,0003288322025062820250909,Rovereto. Via Paoli,1,SHAPE00076
288,0000000012025062820250909,0003272692025062820250909,Fiera di Primiero,0,SHAPE01913
69,0000000042025062820250909,0003289612025062820250909,Trento. Autostazione,1,SHAPE00771
120,0000000072025062820250909,0003270512025062820250909,Trento. Autostazione,1,SHAPE00158
243,0000000012025062820250909,0003272622025062820250909,Penia. Str. Pian Trevisan,0,SHAPE00022
181,0000000022025062820250909,0003283592025062820250909,Aldeno,1,SHAPE00002
634,0000000022025062820250909,0003284602025062820250909,Rovereto. Via Paoli,1,SHAPE00291
157,0000000022025062820250909,0003280372025062820250909,Baitoni,0,SHAPE00032
243,0000000012025062820250909,0003270112025062820250909,Penia. Str. Pian Trevisan,0,SHAPE00022
102,0000000082025062820250909,0003293482025062820250909,Feltre. Staz. Fs,0,SHAPE00317
663,0000000012025062820250909,0003273732025062820250909,Penia. Str. Pian Trevisan,1,SHAPE00156
134,0000000042025062820250909,0003278482025062820250909,Riva Del G.Autostazione,0,SHAPE00441
175,0000000072025062820250909,0003277022025062820250909,Vigo Cavedine,0,SHAPE00249
503,0000000022025062820250909,0003283982025062820250909,Rovereto. Via Paoli,0,SHAPE00557
354,0000000022025062820250909,0003298122025062820250909,Mechel,0,SHAPE00259
198,0000000042025062820250909,0003283152025062820250909,Zoreri-Soldati,0,SHAPE00344
194,0000000042025062820250909,0003286292025062820250909,Rovereto. Staz. Fs,1,SHAPE01695
494,0000000022025062820250909,0003290992025062820250909,Brusago,0,SHAPE01860
71,0000000022025062820250909,0003275782025062820250909,Tione. Autostazione,0,SHAPE00242
658,0000000022025062820250909,0003295492025062820250909,Mezzolombardo,1,SHAPE00361
243,0000000012025062820250909,0003270122025062820250909,Trento. Autostazione,1,SHAPE00467
423,0000000022025062820250909,0003305502025062820250909,Riva Del G. Autostazione,0,SHAPE00016
117,0000000022025062820250909,0003269442025062820250909,Cavalese. Autostazione,1,SHAPE01167
522,0000004512025062820250909,0003290172025062820250909,Castello Tesino,0,SHAPE00370
634,0000000022025062820250909,0003288472025062820250909,Riva Del G.Autostazione,0,SHAPE00138
683,0000000012025062820250909,0003274322025062820250909,Passo Pordoi,0,SHAPE00194
157,0000000072025062820250909,0003276632025062820250909,Baitoni,0,SHAPE00032
332,0000000022025062820250909,0003298802025062820250909,Passo Tonale,0,SHAPE00232
110,0000000022025062820250909,0003285342025062820250909,Besenello-Ferm. Nord,1,SHAPE01560
562,0000006272025062820250909,0003292682025062820250909,Pergine V. Intermodale,1,SHAPE00120
328,0000000042025062820250909,0003299062025062820250909,Pellizzano,1,SHAPE01166
181,0000000042025062820250909,0003283822025062820250909,Garniga Terme,0,SHAPE01931
233,0000000042025062820250909,0003287452025062820250909,Brentonico,1,SHAPE01109
324,0000000022025062820250909,0003298542025062820250909,Campeggio Al Plan,0,SHAPE00310
286,0000000072025062820250909,0003277412025062820250909,Ponte Arche Autostazione,1,SHAPE01183
231,0000000042025062820250909,0003285522025062820250909,Saccone,0,SHAPE01042
552,0000000022025062820250909,0003290852025062820250909,Roncogno,0,SHAPE00406
157,0000000022025062820250909,0003280312025062820250909,Tione. Autostazione,1,SHAPE00006
634,0000000022025062820250909,0003288302025062820250909,Rovereto. Via Paoli,1,SHAPE00291
507,0000000022025062820250909,0003285222025062820250909,Avio. Via M.Baldo,0,SHAPE00043
721,0000000012025062820250909,0003301662025062820250909,Rabbi Coler,0,SHAPE00269
243,0000000012025062820250909,0003272962025062820250909,Predazzo. Autostazione,1,SHAPE00049
134,0000000042025062820250909,0003277002025062820250909,Due Laghi. Hotel Miralaghi,1,SHAPE02058
