pkuid,cod_rip,cod_reg,cod_prov,cod_cm,cod_uts,pro_com,pro_com_t,comune,comune_a,cc_uts,shape_leng,shape_area,den_prov,den_cm,den_uts,sigla,tipo_uts,den_reg,den_rip,ontopia
2904,2,4,22,0,22,22233,022233,Dimaro Folgarida,,0,26765.8649955,36484386.3976,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022233
2905,2,4,22,0,22,22234,022234,Pieve di Bono-Prezzo,,0,27850.8914949,24559247.4914,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022234
2906,2,4,22,0,22,22235,022235,Altavalle,,0,29132.0556873,33739137.9165,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022235
2907,2,4,22,0,22,22236,022236,Altopiano della Vigolana,,0,30521.4142083,44949137.1417,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022236
2908,2,4,22,0,22,22237,022237,Amblar-Don,,0,20282.2848814,19945974.3914,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022237
2909,2,4,22,0,22,22238,022238,Borgo Chiese,,0,45049.3236842,53779160.2501,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022238
2910,2,4,22,0,22,22239,022239,Borgo Lares,,0,24202.6085085,22257581.412,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022239
2911,2,4,22,0,22,22240,022240,Castel Ivano,,0,47009.1946813,34636734.4427,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022240
2912,2,4,22,0,22,22241,022241,Cembra Lisignago,,0,22673.706645,24103718.3877,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022241
2913,2,4,22,0,22,22242,022242,Contà,,0,17790.7317261,19057773.833,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022242
2914,2,4,22,0,22,22243,022243,Madruzzo,,0,27498.2316521,29392053.2115,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022243
2915,2,4,22,0,22,22244,022244,Porte di Rendena,,0,31567.4688958,40895513.2309,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022244
2916,2,4,22,0,22,22245,022245,Primiero San Martino di Castrozza,,0,79583.4202002,199034565.842,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022245
2917,2,4,22,0,22,22246,022246,Sella Giudicarie,,0,48783.3904032,85717880.9133,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022246
2918,2,4,22,0,22,22247,022247,Tre Ville,,0,57307.2081902,81864020.9497,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022247
2919,2,4,22,0,22,22248,022248,Vallelaghi,,0,43812.628477,72490368.542,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022248
2920,2,4,22,0,22,22249,022249,Ville d'Anaunia,,0,62670.6849631,89770178.6317,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022249
2921,2,4,22,0,22,22250,022250,San Giovanni di Fassa-Sèn Jan,Sèn Jan,0,59188.5834116,99320255.0423,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022250
2922,2,4,22,0,22,22251,022251,Terre d'Adige,,0,29554.8979391,16385858.8613,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022251
2923,2,4,22,0,22,22252,022252,Borgo d'Anaunia,,0,54729.6181193,63343989.6673,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022252
2924,2,4,22,0,22,22253,022253,Novella,,0,41010.1379529,46481646.9435,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022253
2925,2,4,22,0,22,22254,022254,Ville di Fiemme,,0,38945.0672183,46035098.1973,Trento,-,Trento,TN,Provincia autonoma,Trentino-Alto Adige,Nord-est,https://w3id.org/italia/data/identifiers/cities-identifiers/alphanumeric-istat-code/022254
